Question,Answer,Wrong1,Wrong2,Wrong3,Wrong4
What year was Ed Sheeran born?,1991,1990,1992,1993,1989
Where was Ed born?,Halifax= England,London= England,Dublin= Ireland,Bristol= England,Nottingham= England
Where did he grow up?,Framlingham,Plymouth,Manchester,London,Liverpool
What does his father do for work?,Art Curator,Musician,Accountant,Teacher,Producer
What does his mother do for work?,Jewelry Designer,Clothing Designer,Professional Chef,Nurse,Teacher
What age did Ed join the church choir?,4,5,9,7,10
At what age did he release his first EP= 'The Orange Room'?,14,16,17,19,15
What was the title of his first EP?,The Orange Room,Things I Forgot to Say,There You Are,Songs in the Night,Writing with Amy
Of all the instruments Ed Sheeran plays= which ones did he give names to?,His Guitars,His Drumset,His Piano,His Bass Guitars,His Harmonica
What size shoes does he wear?,10 (UK),11 (UK),9 (UK),12 (UK),12.5 (UK)
Who is his favorite rapper?,Eminem,Dr. Dre,Snoop Dogg,Jay-Z,Macklemore
Which actor appears in the music video for 'Lego House'?,Rupert Grint,Kit Harington,Andrew Garfield,Donald Glover,Dave Franco
Which legend performer did Sheeran duet with at the grammy's?,Elton John,Paul McCartney,Mick Jagger,David Bowie,Keith Richards
Which 90's TV show is a favorite of Ed's= and even depicted through a tattoo?,Fresh Prince of Bel-Air,Boy Meets World,Hey Arnold!,Batman,The Simpsons
What did Ed Sheeran tattoo on Harry Styles?,A Padlock,A Red Heart,His Name,Map of the UK,Musical Notes
Which fastfood restaurant does Ed proudly hold a Black Card for?,Nando's,In-and-Out,White Castle,Krispy Kreme,Subway
Which album did Ed collaborate and tour with Taylor Swift?,Red,Speak Now,Fearless,Rhapsody Originals,1989
Which musician discovered Sheeran in 2010= and offered him a place to stay in his home in LA?,Jamie Foxx,Justin Timerlake,Calvin Harris,Paul McCartney,Elton John
Which 'Cannonball' singer is one of Ed's biggest influences?,Damien Rice,David Bowie,Prince,Jimi Hendrix,John Lennon
What age was Ed accepted into the National Youth Music Theater?,15,14,16,17,18
What nationality are his parents?,Irish/English,English/Scottish,Welsh/Irish,Irish/American,English/French
What's Ed's favorite color?,Blue,Green,Orange,Black,Yellow
Which year did he win BRIT Awards Best British Male Solo Artist AND Breakthrough of the year?,2012,2010,2013,2014,2011
Which song was nominated for Song of the Year at the Grammys in 2013?,The A Team,Small Bump,Lego House,Sing,London Bridge
Which year did 'Thinking Out Loud' win Song of the Year at the Grammys?,2015,2016,2014,2017,2014
In 2017= Sheeran appeared on Debrett's list of the ______ people in the UK.,Most influential,Richest,Funniest,Sexiest,Craziest
According to Sheeran= the album that first introduced him to music was Irish Heartbeat. Who sang this album?,Van Morrison,Great Big Sea,The Beatles,U2,The Cheiftains
How many siblings does he have?,One Brother,One Sister,Two Brothers,One Bother/Two Sisters,One Brother/One Sister
On which song does Ed sing 'I still remember these old country lanes'?,Castle On The Hill,Kiss Me,The City,Runaway,The Man,,,
On which song does Ed sing 'Will your mouth still remember the taste of my love?',Thinking Out Loud,In Memory,Move On,Be Like You,Photograph,,,
On which song does Ed sing 'If we should die tonight= then we should die together'?,I See Fire,I'm a Mess,Bloodstream,Happier,What Do I Know?,,,
On which song does Ed sing 'This love is a blaze= I saw flames from the side of the stage'?,Sing,I Saw Fire,Afire Love,Don't,Give Me Love,,,
On which song does Ed sing 'She kissed me like there was nobody else in the room'?,Galway Girl,Sing,Dive,Perfect,Bloodstream,,,
On which song does Ed sing 'I see my future in your eyes'?,Perfect,Wake Me Up,Small Bump,No Luck,Way Home,,,
On which song does Ed sing 'Life is more than fitting in your jeans'?,What Do I Know?,Bracelona,Supermarket Flowers,How Would You Feel (Paean),Hearts Don't Break Around Here,,,
On which song does Ed sing 'When I fell down you'd be there holding me up'?,Supermarket Flowers,Galway Girl,The A Team,You Need Me I Don't Need You,Lego House,,,
On which song does Ed sing 'Spending my life= falling deeper in love with you'?,How Would You Feel (Paean),Dive,Photograph,Kiss Me,Be Like You,,,
On which song does Ed sing 'Don't tell me you need me if you don't believe it'?,Dive,Happier,How Would You Feel (Paean),The A Team,Hearts Don't Break Around Here,,,
Which song did Ed write for the boy band 'One Direction'?,Little Things,History,Story of My Life,What Makes You Beautiful,Infinity,,,
Which song did Ed Sheeran write for Taylor Swift's RED album?,Everything Has Changed,Begin again,22,I knew You Were Trouble,Red,,,
How did Ed document his travels in 2016?,Wrote a journal,Snapchat,Instagram,Twitter,Blogging,,,
On the Zach Sang show= what did Ed list as his single reason for making music?,To perform,To express himself,To impress his girl,Fame,Creativity/Fun,,,
Between 2012 and 2017= which year did Ed say was his ultimate 'high point'?,2017,2015,2013,2016,2015,,,
What did Ed get his girlfriend for christmas?,A penknife,A Tesla,A tropical vacation,A puppy,A piano,,,
Where did Ed NOT go on his world travels in 2016?,Tanzania,Iceland,Ghana,Japan,New Zealand,,,
According to Ed's instagram= how did he break his arm in 2017?, biking, performing, rock climbing, fighting, skiing,
